E_x, E_y, E_z
-0.00071953468+0.23922454i,-0.0012591857+0.41864294i,-0.6329234-0.15154453i
+0.22516419-0.15167834i,+0.33774628-0.22751751i,-0.53140898-0.66203932i
+0.25741881-0.21447875i,+0.32177351-0.26809844i,+0.5148941+0.80210842i
+0.065955655-0.35275601i,+0.065955655-0.35275601i,-1.1259622-0.16457136i
+0.10084189-0.63873393i,+0.07563142-0.47905045i,+0.74096189+0.64751873i
-0.90325303-0.13723219i,-0.45162651-0.068616097i,+0.66358715+0.64862436i
-1.1327013+0.19167057i,-0.28317533+0.047917642i,+0.89974575-0.035244271i
+0.53963039-0.090772711i,-9.6913835e-16-3.8986673e-16i,-0.64376848-1.2799782i
-1.1327013+0.19167057i,+0.28317533-0.047917642i,+0.89974575-0.035244271i
-0.90325303-0.13723219i,+0.45162651+0.068616097i,+0.66358715+0.64862436i
+0.10084189-0.63873393i,-0.07563142+0.47905045i,+0.74096189+0.64751873i
+0.065955655-0.35275601i,-0.065955655+0.35275601i,-1.1259622-0.16457136i
+0.25741881-0.21447875i,-0.32177351+0.26809844i,+0.5148941+0.80210842i
+0.22516419-0.15167834i,-0.33774628+0.22751751i,-0.53140898-0.66203932i
-0.00071953468+0.23922454i,+0.0012591857-0.41864294i,-0.6329234-0.15154453i
-0.079055845+0.036099404i,+0.15811169-0.072198809i,-1.0018088+0.23830535i
-0.074937372+0.071330435i,+0.16860909-0.16049348i,+0.17804764+0.84595228i
-0.065519353+0.014681291i,-0.21839784+0.048937638i,-0.61979238-0.565436i
+0.10935645-0.047183988i,+0.32806936-0.14155196i,+0.22883026+0.57658806i
+0.00021587347+0.17442605i,+0.00057566258+0.46513613i,+0.33298827-0.25407616i
+0.053413218+0.065609038i,+0.12463084+0.15308776i,+0.28690041+1.0885438i
+0.18794187-0.20466199i,+0.37588374-0.40932397i,-0.68142308-0.19274425i
+0.40351184+0.082611694i,+0.67251973+0.13768616i,-0.60331567+0.2064537i
+0.07563142-0.47905045i,+0.10084189-0.63873393i,+0.74096189+0.64751873i
+0.49753926-0.03123434i,+0.49753926-0.03123434i,-0.40477187+1.2367244i
+0.22407864+0.11391974i,+0.14938576+0.075946491i,+0.062444477-1.5659346i
-0.44770091-0.68718892i,-0.14923364-0.22906297i,+1.5074036+0.08688451i
-0.35476055+1.3938218i,+7.5069246e-16-1.994953e-15i,+0.92399955-0.89969553i
-0.44770091-0.68718892i,+0.14923364+0.22906297i,+1.5074036+0.08688451i
+0.22407864+0.11391974i,-0.14938576-0.075946491i,+0.062444477-1.5659346i
+0.49753926-0.03123434i,-0.49753926+0.03123434i,-0.40477187+1.2367244i
+0.07563142-0.47905045i,-0.10084189+0.63873393i,+0.74096189+0.64751873i
+0.40351184+0.082611694i,-0.67251973-0.13768616i,-0.60331567+0.2064537i
+0.18794187-0.20466199i,-0.37588374+0.40932397i,-0.68142308-0.19274425i
+0.053413218+0.065609038i,-0.12463084-0.15308776i,+0.28690041+1.0885438i
+0.00021587347+0.17442605i,-0.00057566258-0.46513613i,+0.33298827-0.25407616i
+0.10935645-0.047183988i,-0.32806936+0.14155196i,+0.22883026+0.57658806i
-0.04337646-0.064154097i,-0.2168823-0.32077049i,+0.29654251+0.020213575i
-0.00033928502+0.091902242i,-0.0015267826+0.41356009i,+0.49333988-0.13438741i
-0.049920162+0.0045206086i,-0.19968065+0.018082434i,-1.0432362-0.26863609i
-0.13659335-0.089762719i,-0.47807672-0.31416952i,+0.022019544+0.56105825i
+0.024257285+0.22543715i,+0.072771856+0.67631145i,-0.45310675-0.41338017i
-0.2978997-0.11892913i,-0.74474926-0.29732281i,+0.71131465-0.1465968i
-0.45162651-0.068616097i,-0.90325303-0.13723219i,+0.66358715+0.64862436i
+0.14938576+0.075946491i,+0.22407864+0.11391974i,+0.062444477-1.5659346i
-0.234688+0.53609932i,-0.234688+0.53609932i,-0.6658294-1.4568698i
+0.76897885-0.54221963i,+0.38448942-0.27110981i,-1.6617809-0.020213436i
+2.2422011+0.11374691i,-2.8563883e-15-1.7690457e-16i,-1.347424-0.18449655i
+0.76897885-0.54221963i,-0.38448942+0.27110981i,-1.6617809-0.020213436i
