E_x, E_y, E_z
-0.1662728 +0.11040549I, -0.023753256 +0.015772213I, -0.87566933 +0.79307703I
-0.25548127 -0.15771938I, +4.4911178e-16 -2.5433759e-16I, +0.023134189 -1.1217931I
-0.1662728 +0.11040549I, +0.023753256 -0.015772213I, -0.87566933 +0.79307703I
-0.47807672 -0.31416952I, +0.13659335 +0.089762719I, +0.022019544 +0.56105825I
+0.12463084 +0.15308776I, -0.053413218 -0.065609038I, +0.28690041 +1.0885438I
-0.0012591857 +0.41864294I, +0.00071953468 -0.23922454I, -0.6329234 -0.15154453I
+0.40678274 -0.083266881I, -0.2905591 +0.059476344I, -0.29700085 +0.034266961I
-0.0011874976 +0.32165785I, +0.0010178551 -0.27570672I, +0.49333988 -0.13438741I
+0.13266223 +0.16524187I, -0.13266223 -0.16524187I, +0.71090362 -0.28203683I
-0.068200234 -0.098917668I, +0.077943125 +0.11304876I, -0.7938587 -0.43655125I
+0.049063967 -0.11099789I, -0.063082243 +0.14271158I, +0.76718642 -0.2704169I
-0.063359557 -0.076570158I, -0.10559926 -0.12761693I, -0.79694266 -0.049687476I
+0.026721931 -0.16245199I, +0.040082897 -0.24367798I, -0.5932502 -0.20159519I
-0.13014865 -0.1818267I, -0.17353154 -0.2424356I, -0.36095383 +0.35410424I
-0.0010178551 +0.27570672I, -0.0011874976 +0.32165785I, +0.49333988 -0.13438741I
-0.31397709 -0.061517493I, -0.31397709 -0.061517493I, +0.001997667 +0.62284967I
-0.32623931 +0.13801822I, -0.27186609 +0.11501518I, +0.35513987 +0.68424688I
+0.33774628 -0.22751751I, +0.22516419 -0.15167834I, -0.53140898 -0.66203932I
+0.37588374 -0.40932397I, +0.18794187 -0.20466199I, -0.68142308 -0.19274425I
+0.072771856 +0.67631145I, +0.024257285 +0.22543715I, -0.45310675 -0.41338017I
-0.017495625 +0.29885447I, -0.0029159375 +0.049809078I, +1.0592847 +0.61398498I
-0.16712319 +0.18025453I, -3.075676e-16 -3.0811974e-16I, -1.261426 -0.05498886I
-0.017495625 +0.29885447I, +0.0029159375 -0.049809078I, +1.0592847 +0.61398498I
+0.072771856 +0.67631145I, -0.024257285 -0.22543715I, -0.45310675 -0.41338017I
+0.37588374 -0.40932397I, -0.18794187 +0.20466199I, -0.68142308 -0.19274425I
+0.33774628 -0.22751751I, -0.22516419 +0.15167834I, -0.53140898 -0.66203932I
-0.32623931 +0.13801822I, +0.27186609 -0.11501518I, +0.35513987 +0.68424688I
-0.31397709 -0.061517493I, +0.31397709 +0.061517493I, +0.001997667 +0.62284967I
-0.0010178551 +0.27570672I, +0.0011874976 -0.32165785I, +0.49333988 -0.13438741I
-0.13014865 -0.1818267I, +0.17353154 +0.2424356I, -0.36095383 +0.35410424I
+0.026721931 -0.16245199I, -0.040082897 +0.24367798I, -0.5932502 -0.20159519I
+0.12508837 -0.072224025I, +0.25017675 -0.14444805I, +0.16182479 +0.39919268I
+0.084772831 +0.14483731I, +0.1525911 +0.26070715I, -0.48308738 +0.25844447I
+0.077059199 +0.20786781I, +0.12329472 +0.3325885I, -0.46435541 +0.012428264I
+0.2905591 -0.059476344I, +0.40678274 -0.083266881I, -0.29700085 +0.034266961I
-0.27186609 +0.11501518I, -0.32623931 +0.13801822I, +0.35513987 +0.68424688I
-0.11876628 +0.078861066I, -0.11876628 +0.078861066I, -0.87566933 +0.79307703I
+0.32177351 -0.26809844I, +0.25741881 -0.21447875I, +0.5148941 +0.80210842I
+0.67251973 +0.13768616I, +0.40351184 +0.082611694I, -0.60331567 +0.2064537I
-0.74474926 -0.29732281I, -0.2978997 -0.11892913I, +0.71131465 -0.1465968I
-0.2129913 +0.13649456I, -0.04259826 +0.027298912I, -1.1234743 -0.76762627I
+0.12605237 -0.79841741I, +1.3598492e-16 +1.4319938e-15I, +0.74096189 +0.64751873I
-0.2129913 +0.13649456I, +0.04259826 -0.027298912I, -1.1234743 -0.76762627I
-0.74474926 -0.29732281I, +0.2978997 +0.11892913I, +0.71131465 -0.1465968I
+0.67251973 +0.13768616I, -0.40351184 -0.082611694I, -0.60331567 +0.2064537I
+0.32177351 -0.26809844I, -0.25741881 +0.21447875I, +0.5148941 +0.80210842I
-0.11876628 +0.078861066I, +0.11876628 -0.078861066I, -0.87566933 +0.79307703I
-0.27186609 +0.11501518I, +0.32623931 -0.13801822I, +0.35513987 +0.68424688I
