X,Y,Z,Ex,Ey,Ez
-6,-7,+3,+0.498045-0.428673i,+0.581052-0.500118i,-0.204394-0.00644454i
-6,-6,+3,+0.7787+1.46468i,+0.7787+1.46468i,-0.0841257-0.510237i
-6,-5,+3,+1.83251+0.965901i,+1.52709+0.804918i,-0.738532-0.191005i
-6,-4,+3,-1.20116-0.261461i,-0.800773-0.174307i,+0.474447-0.0380722i
-6,-3,+3,-1.45186+0.545735i,-0.725932+0.272867i,+0.525579-0.274824i
-6,-2,+3,-0.645984-1.70279i,-0.215328-0.567595i,+0.206774+0.626699i
-6,-1,+3,+1.28388+0.184073i,+0.21398+0.0306788i,-0.413354-0.0364238i
-6,+0,+3,-1.62062-0.27129i,+0+0i,+0.540206+0.0904302i
-6,+1,+3,+1.28388+0.184073i,-0.21398-0.0306788i,-0.413354-0.0364238i
-6,+2,+3,-0.645984-1.70279i,+0.215328+0.567595i,+0.206774+0.626699i
-6,+3,+3,-1.45186+0.545735i,+0.725932-0.272867i,+0.525579-0.274824i
-6,+4,+3,-1.20116-0.261461i,+0.800773+0.174307i,+0.474447-0.0380722i
-6,+5,+3,+1.83251+0.965901i,-1.52709-0.804918i,-0.738532-0.191005i
-6,+6,+3,+1.10761+1.42495i,-1.10761-1.42495i,-0.577488-0.450643i
-6,+7,+3,+0.43365-0.684325i,-0.505925+0.798379i,-0.090362+0.446274i
-6,+8,+3,-0.0204281+0.674931i,+0.0272375-0.899909i,-0.169398-0.371842i
-6,+9,+3,-0.513718+0.200106i,+0.770576-0.30016i,+0.134027-0.289366i
-5,-10,+3,+0.0866073-0.0242594i,+0.173215-0.0485188i,-0.138572+0.038815i
-5,-9,+3,-0.467564+0.0160978i,-0.841615+0.028976i,+0.159747-0.129983i
-5,-8,+3,-0.467319-0.21752i,-0.747711-0.348032i,+0.170871-0.0603009i
-5,-7,+3,-0.550843+0.0901118i,-0.77118+0.126157i,+0.0510193-0.000607914i
-5,-6,+3,+0.702938+0.464691i,+0.843525+0.557629i,-0.281175-0.185876i
-5,-5,+3,-0.883879+0.819934i,-0.883879+0.819934i,+0.533973-0.471256i
-5,-4,+3,-0.100779+1.24459i,-0.080623+0.99567i,+0.108704-0.506999i
-5,-3,+3,-1.79336-0.0392394i,-1.07602-0.0235436i,+0.710444+0.0140559i
-5,-2,+3,+2.02621+0.35584i,+0.810482+0.142336i,-0.7443-0.0965683i
-5,-1,+3,-0.892106-1.07145i,-0.178421-0.214291i,+0.487421+0.461008i
-5,+0,+3,-0.325534+0.40458i,+0+0i,+0.0345476-0.0404643i
-5,+1,+3,-0.892106-1.07145i,+0.178421+0.214291i,+0.487421+0.461008i
-5,+2,+3,+2.02621+0.35584i,-0.810482-0.142336i,-0.7443-0.0965683i
-5,+3,+3,-1.79336-0.0392394i,+1.07602+0.0235436i,+0.710444+0.0140559i
-5,+4,+3,-0.100779+1.24459i,+0.080623-0.99567i,+0.108704-0.506999i
-5,+5,+3,-0.54655+0.55435i,+0.54655-0.55435i,+0.112312-0.139276i
-5,+6,+3,+0.702938+0.464691i,-0.843525-0.557629i,-0.281175-0.185876i
-5,+7,+3,-0.811626+0.143434i,+1.13628-0.200807i,+0.533468-0.0992536i
-5,+8,+3,-0.488603-0.422021i,+0.781765+0.675234i,+0.218228+0.394715i
-5,+9,+3,-0.500828-0.138313i,+0.90149+0.248963i,+0.247897+0.279205i
-4,-10,+3,+0.0221864-0.387445i,+0.0554659-0.968612i,-0.120554+0.232491i
-4,-9,+3,+0.197972+0.448637i,+0.445437+1.00943i,-0.0438112-0.350017i
-4,-8,+3,-0.615948+0.127785i,-1.2319+0.255571i,+0.462368-0.113892i
-4,-7,+3,-0.490829-0.331357i,-0.858951-0.579876i,+0.311293-0.0140286i
-4,-6,+3,-0.635232-0.458441i,-0.952848-0.687661i,+0.205443+0.423644i
-4,-5,+3,+0.336672+0.933268i,+0.42084+1.16658i,-0.425955-0.427046i
-4,-4,+3,-1.35589-0.41366i,-1.25725-0.395012i,+0.719939+0.450746i
-4,-3,+3,-0.0683522+1.90893i,-0.0687854+1.28709i,-0.0503173-0.740883i
-4,-2,+3,+1.84802+1.22341i,+0.848337+0.538855i,-0.59464-0.601763i
-4,-1,+3,+2.63099+0.281239i,+0.695179+0.0775794i,-0.826522-0.197284i
-4,+0,+3,-0.169984+0.546015i,+0+0i,-0.0295806+0.10179i
-4,+1,+3,+2.63099+0.281239i,-0.695179-0.0775794i,-0.826522-0.197284i
-4,+2,+3,+1.84802+1.22341i,-0.848337-0.538855i,-0.59464-0.601763i
-4,+3,+3,-0.0683522+1.90893i,+0.0687854-1.28709i,-0.0503173-0.740883i
-4,+4,+3,-1.10784+0.0524267i,+1.00921-0.0710744i,+0.471892-0.015341i
-4,+5,+3,-0.080623+0.99567i,+0.100779-1.24459i,+0.108704-0.506999i
-4,+6,+3,-0.800773-0.174307i,+1.20116+0.261461i,+0.474447-0.0380722i
-4,+7,+3,-0.403006-0.567654i,+0.70526+0.993394i,+0.132901+0.465948i
-4,+8,+3,-0.433552+0.0696688i,+0.867104-0.139338i,+0.00637864+0.0313996i
-4,+9,+3,+0.256828+0.316351i,-0.577864-0.711789i,-0.222219+0.0509763i
-3,-10,+3,-0.192772-0.26977i,-0.642572-0.899232i,+0.249897+0.201179i
-3,-9,+3,-0.00852723+0.335497i,-0.0255817+1.00649i,-0.140789-0.21483i
-3,-8,+3,+0.181121-0.306795i,+0.48299-0.818119i,-0.150076+0.0321227i
-3,-7,+3,+0.131827+0.617271i,+0.307595+1.4403i,-0.174174-0.600891i
-3,-6,+3,-0.610731+0.00870274i,-1.22146+0.0174055i,+0.309577+0.220485i
-3,-5,+3,-0.728598+0.120443i,-1.21433+0.200738i,+0.218266-0.189925i
-3,-4,+3,+0.340309+1.07184i,+0.416456+1.2394i,-0.423269-0.394664i
-3,-3,+3,-1.22633+1.00888i,-1.02856+0.881777i,+0.493233-0.905649i
-3,-2,+3,+0.0759454-1.55727i,+0.0326702-0.902925i,-0.233392+1.40219i
-3,-1,+3,+1.83856+1.41797i,+0.717822+0.520509i,-1.49281-0.388582i
-3,+0,+3,+1.53542-2.47946i,+0+0i,-1.14775+0.911956i
-3,+1,+3,+1.83856+1.41797i,-0.717822-0.520509i,-1.49281-0.388582i
-3,+2,+3,+0.0759454-1.55727i,-0.0326702+0.902925i,-0.233392+1.40219i
-3,+3,+3,-1.62672+0.579042i,+1.42895-0.451941i,+0.79352-0.583272i
-3,+4,+3,+0.0410426+1.4453i,-0.0174341-1.73734i,-0.111533-0.78368i
-3,+5,+3,-1.07602-0.0235436i,+1.79336+0.0392394i,+0.710444+0.0140559i
-3,+6,+3,-0.725932+0.272867i,+1.45186-0.545735i,+0.525579-0.274824i
-3,+7,+3,+0.0425497+0.419057i,-0.0992826-0.977799i,+0.0415789-0.121873i
-3,+8,+3,+0.154585-0.467256i,-0.412227+1.24602i,-0.0693621+0.520192i
-3,+9,+3,-0.12971+0.342212i,+0.38913-1.02664i,+0.313646-0.240013i
-2,-10,+3,+0.285793+0.167581i,+1.42897+0.837907i,-0.172149+0.0635626i
-2,-9,+3,+0.166015-0.142891i,+0.747067-0.643009i,-0.204394-0.00644454i
-2,-8,+3,-0.636329-0.205951i,-2.54532-0.823804i,+0.820123+0.226272i
-2,-7,+3,+0.0469979+0.286226i,+0.164493+1.00179i,+0.369844-0.135717i
-2,-6,+3,-0.242471-0.353227i,-0.727414-1.05968i,+0.274632+0.0907786i
-2,-5,+3,+0.577829-0.0236846i,+1.44457-0.0592115i,-0.322616+0.204344i
-2,-4,+3,+0.49932+0.61762i,+1.12232+1.35431i,-0.12725-0.670262i
-2,-3,+3,+0.217955-1.36244i,+0.346289-2.18944i,-0.374773+1.70655i
-2,-2,+3,-0.28916-0.100153i,-0.28916-0.100153i,+1.15664+0.400611i
-2,-1,+3,-2.04902+0.0931231i,-0.923648+0.0560124i,+2.88408+0.568747i
-2,+0,+3,-3.16281-0.275857i,+0+0i,+2.2282+0.348089i
-2,+1,+3,-2.04902+0.0931231i,+0.923648-0.0560124i,+2.88408+0.568747i
-2,+2,+3,+0.734327+0.258178i,-0.734327-0.258178i,+0.644898+0.221445i
-2,+3,+3,+0.0377254-0.940995i,-0.0759454+1.55727i,-0.228336+1.36412i
-2,+4,+3,+0.862168+0.55217i,-1.84802-1.22341i,-0.580809-0.588449i
-2,+5,+3,+0.810482+0.142336i,-2.02621-0.35584i,-0.7443-0.0965683i
-2,+6,+3,-0.215328-0.567595i,+0.645984+1.70279i,+0.206774+0.626699i
-2,+7,+3,+0.349253+0.396819i,-1.22238-1.38887i,-0.631375-0.502057i
-2,+8,+3,-0.518112-0.192339i,+2.07245+0.769355i,+0.3177+0.16842i
-2,+9,+3,+0.14455-0.228108i,-0.650475+1.02649i,-0.090362+0.446274i
-1,-10,+3,+0.0875-0.000277197i,+0.875-0.00277197i,-0.0812937-0.0928589i
-1,-9,+3,+0.0793426-0.123277i,+0.714083-1.10949i,-0.310336+0.294216i
-1,-8,+3,-0.122707-0.0828394i,-0.981659-0.662715i,+0.311293-0.0140286i
-1,-7,+3,-0.176776+0.163987i,-1.23743+1.14791i,+0.533973-0.471256i
-1,-6,+3,+0.276496+0.128687i,+1.65898+0.772121i,-0.702491-0.489711i
-1,-5,+3,-0.328627-0.25305i,-1.64313-1.26525i,+0.975589+0.586975i
-1,-4,+3,+0.558017+0.0575734i,+1.8098+0.201262i,-0.536879-0.190579i
-1,-3,+3,+0.58395+0.254276i,+2.14165+0.988912i,-1.7961-0.366422i
-1,-2,+3,-1.13517-0.158922i,-2.67195-0.355474i,+2.81639+0.684352i
-1,-1,+3,+0.612611-1.64333i,+0.626967-1.67894i,-1.29085+4.1913i
-1,+0,+3,+1.45284+0.91595i,+0+0i,-4.3471-2.7757i
-1,+1,+3,+0.670484-1.31131i,-0.684839+1.34692i,-1.30532+4.10829i
-1,+2,+3,-0.923648+0.0560124i,+2.24891-0.0743937i,+2.68419+0.550018i
-1,+3,+3,+0.434057+0.458267i,-1.69198-1.60089i,-1.60873-0.621411i
-1,+4,+3,+0.754549+0.0112788i,-2.59593-0.0160835i,-0.954511-0.0922026i
-1,+5,+3,-0.178421-0.214291i,+0.892106+1.07145i,+0.487421+0.461008i
-1,+6,+3,+0.21398+0.0306788i,-1.28388-0.184073i,-0.413354-0.0364238i
-1,+7,+3,-0.10931+0.11087i,+0.765169-0.77609i,+0.112312-0.139276i
-1,+8,+3,-0.100751-0.141913i,+0.806012+1.13531i,+0.132901+0.465948i
-1,+9,+3,+0.0351703-0.109624i,-0.316532+0.986619i,+0.14243+0.154279i
+0,-10,+3,-1.56895e-17+1.28036e-16i,+0.256229-2.09098i,+0.0512459-0.418197i
+0,-9,+3,-2.9646e-15+5.92231e-15i,-0.660131-0.739736i,-0.0805069+0.0470553i
+0,-8,+3,-2.28315e-15-6.66487e-15i,-1.51541-0.0189157i,-0.551376-0.0888165i
+0,-7,+3,+2.32343e-15-7.17499e-15i,-0.504956+1.09743i,-0.201341+0.198263i
+0,-6,+3,-9.92342e-17-1.66118e-17i,+1.62062+0.27129i,+0.540206+0.0904302i
+0,-5,+3,+7.62535e-15-7.62951e-16i,-0.619061-2.0401i,-0.343291-0.694672i
+0,-4,+3,-5.8396e-17-1.24381e-16i,+0.953679+2.03129i,+0.420386+0.895402i
+0,-3,+3,+1.04376e-16-1.19077e-16i,-1.70459+1.94467i,-1.0535+1.20187i
+0,-2,+3,+3.28297e-15+2.96494e-15i,+3.19504+0.279515i,+2.19597+0.344432i
+0,-1,+3,+0+0i,+0+0i,+0+0i
+0,+0,+3,-nan(ind)-nan(ind)i,-nan(ind)-nan(ind)i,-nan(ind)-nan(ind)i
+0,+1,+3,+0+0i,+0+0i,+0+0i
+0,+2,+3,-8.89254e-16+1.85361e-15i,-2.57099-0.322725i,+2.03996+0.355234i
+0,+3,+3,+1.04376e-16-1.19077e-16i,+1.70459-1.94467i,-1.0535+1.20187i
+0,+4,+3,-5.8396e-17-1.24381e-16i,-0.953679-2.03129i,+0.420386+0.895402i
+0,+5,+3,+5.78398e-17+1.00147e-16i,+1.11784+1.41767i,-0.655026-0.305657i
+0,+6,+3,-9.92342e-17-1.66118e-17i,-1.62062-0.27129i,+0.540206+0.0904302i
+0,+7,+3,+1.16095e-14-4.62397e-15i,+0.22819-1.64603i,+0.0408301+0.678289i
+0,+8,+3,+7.87071e-17-5.70692e-18i,+1.05228-0.204244i,-0.088245+0.134343i
+0,+9,+3,+4.3728e-17+5.59646e-17i,+0.787983+1.14329i,-0.224341-0.406945i
+1,-10,+3,+0.111729-0.024188i,-1.11729+0.24188i,-0.387191+0.209014i
+1,-9,+3,+0.0351703-0.109624i,-0.316532+0.986619i,+0.14243+0.154279i
+1,-8,+3,-0.100751-0.141913i,+0.806012+1.13531i,+0.132901+0.465948i
+1,-7,+3,-0.10931+0.11087i,+0.765169-0.77609i,+0.112312-0.139276i
+1,-6,+3,+0.21398+0.0306788i,-1.28388-0.184073i,-0.413354-0.0364238i
+1,-5,+3,-0.178421-0.214291i,+0.892106+1.07145i,+0.487421+0.461008i
+1,-4,+3,+0.754549+0.0112788i,-2.59593-0.0160835i,-0.954511-0.0922026i
+1,-3,+3,+0.434057+0.458267i,-1.69198-1.60089i,-1.60873-0.621411i
+1,-2,+3,-0.923648+0.0560124i,+2.24891-0.0743937i,+2.68419+0.550018i
+1,-1,+3,+0.670484-1.31131i,-0.684839+1.34692i,-1.30532+4.10829i
+1,+0,+3,+1.45284+0.91595i,+5.0126e-16+2.40024e-15i,-4.3471-2.7757i
+1,+1,+3,+0.670484-1.31131i,+0.684839-1.34692i,-1.30532+4.10829i
+1,+2,+3,-1.13517-0.158922i,-2.67195-0.355474i,+2.81639+0.684352i
+1,+3,+3,+0.58395+0.254276i,+2.14165+0.988912i,-1.7961-0.366422i
+1,+4,+3,+0.558017+0.0575734i,+1.8098+0.201262i,-0.536879-0.190579i
+1,+5,+3,-0.328627-0.25305i,-1.64313-1.26525i,+0.975589+0.586975i
+1,+6,+3,+0.276496+0.128687i,+1.65898+0.772121i,-0.702491-0.489711i
+1,+7,+3,-0.176776+0.163987i,-1.23743+1.14791i,+0.533973-0.471256i
+1,+8,+3,-0.122707-0.0828394i,-0.981659-0.662715i,+0.311293-0.0140286i
+1,+9,+3,+0.0793426-0.123277i,+0.714083-1.10949i,-0.310336+0.294216i
+2,-10,+3,+0.342626+0.284679i,-1.71313-1.4234i,-0.54156-0.697571i
+2,-9,+3,+0.14455-0.228108i,-0.650475+1.02649i,-0.090362+0.446274i
+2,-8,+3,-0.518112-0.192339i,+2.07245+0.769355i,+0.3177+0.16842i
+2,-7,+3,+0.349253+0.396819i,-1.22238-1.38887i,-0.631375-0.502057i
+2,-6,+3,-0.215328-0.567595i,+0.645984+1.70279i,+0.206774+0.626699i
+2,-5,+3,+0.810482+0.142336i,-2.02621-0.35584i,-0.7443-0.0965683i
+2,-4,+3,+0.862168+0.55217i,-1.84802-1.22341i,-0.580809-0.588449i
+2,-3,+3,+0.0377254-0.940995i,-0.0759454+1.55727i,-0.228336+1.36412i
+2,-2,+3,+0.734327+0.258178i,-0.734327-0.258178i,+0.644898+0.221445i
+2,-1,+3,-2.04902+0.0931231i,+0.923648-0.0560124i,+2.88408+0.568747i
+2,+0,+3,-3.16281-0.275857i,+3.47861e-15+2.98205e-15i,+2.2282+0.348089i
+2,+1,+3,-2.47206-0.336745i,-1.13517-0.158922i,+3.01628+0.703081i
+2,+2,+3,+0.222583+0.0790128i,+0.222583+0.0790128i,+0.900769+0.311028i
+2,+3,+3,+0.217955-1.36244i,+0.346289-2.18944i,-0.374773+1.70655i
+2,+4,+3,+0.49932+0.61762i,+1.12232+1.35431i,-0.12725-0.670262i
+2,+5,+3,+0.577829-0.0236846i,+1.44457-0.0592115i,-0.322616+0.204344i
+2,+6,+3,-0.242471-0.353227i,-0.727414-1.05968i,+0.274632+0.0907786i
+2,+7,+3,+0.0469979+0.286226i,+0.164493+1.00179i,+0.369844-0.135717i
+2,+8,+3,-0.636329-0.205951i,-2.54532-0.823804i,+0.820123+0.226272i
+2,+9,+3,+0.166015-0.142891i,+0.747067-0.643009i,-0.204394-0.00644454i
+3,-10,+3,-0.103511-0.253606i,+0.345037+0.845353i,-0.155495+0.127769i
+3,-9,+3,-0.12971+0.342212i,+0.38913-1.02664i,+0.313646-0.240013i
+3,-8,+3,+0.154585-0.467256i,-0.412227+1.24602i,-0.0693621+0.520192i
+3,-7,+3,+0.0425497+0.419057i,-0.0992826-0.977799i,+0.0415789-0.121873i
+3,-6,+3,-0.725932+0.272867i,+1.45186-0.545735i,+0.525579-0.274824i
+3,-5,+3,-1.07602-0.0235436i,+1.79336+0.0392394i,+0.710444+0.0140559i
+3,-4,+3,+0.0410426+1.4453i,-0.0174341-1.73734i,-0.111533-0.78368i
+3,-3,+3,-1.62672+0.579042i,+1.42895-0.451941i,+0.79352-0.583272i
+3,-2,+3,+0.0759454-1.55727i,-0.0326702+0.902925i,-0.233392+1.40219i
+3,-1,+3,+1.83856+1.41797i,-0.717822-0.520509i,-1.49281-0.388582i
+3,+0,+3,+1.53542-2.47946i,-2.79931e-15+5.50559e-15i,-1.14775+0.911956i
+3,+1,+3,+2.28824+0.805996i,+0.867714+0.316517i,-1.68017-0.133593i
+3,+2,+3,+0.346289-2.18944i,+0.2129-1.32437i,-0.379828+1.74462i
+3,+3,+3,-1.62672+0.579042i,-1.42895+0.451941i,+0.79352-0.583272i
+3,+4,+3,+0.340309+1.07184i,+0.416456+1.2394i,-0.423269-0.394664i
+3,+5,+3,-0.728598+0.120443i,-1.21433+0.200738i,+0.218266-0.189925i
+3,+6,+3,-0.610731+0.00870274i,-1.22146+0.0174055i,+0.309577+0.220485i
+3,+7,+3,+0.131827+0.617271i,+0.307595+1.4403i,-0.174174-0.600891i
+3,+8,+3,+0.181121-0.306795i,+0.48299-0.818119i,-0.150076+0.0321227i
+3,+9,+3,-0.00852723+0.335497i,-0.0255817+1.00649i,-0.140789-0.21483i
+4,-10,+3,-0.0812413-0.351426i,+0.203103+0.878566i,+0.254371+0.101924i
+4,-9,+3,+0.256828+0.316351i,-0.577864-0.711789i,-0.222219+0.0509763i
+4,-8,+3,-0.433552+0.0696688i,+0.867104-0.139338i,+0.00637864+0.0313996i
+4,-7,+3,-0.403006-0.567654i,+0.70526+0.993394i,+0.132901+0.465948i
+4,-6,+3,-0.800773-0.174307i,+1.20116+0.261461i,+0.474447-0.0380722i
+4,-5,+3,-0.080623+0.99567i,+0.100779-1.24459i,+0.108704-0.506999i
+4,-4,+3,-1.10784+0.0524267i,+1.00921-0.0710744i,+0.471892-0.015341i
+4,-3,+3,-0.0683522+1.90893i,+0.0687854-1.28709i,-0.0503173-0.740883i
+4,-2,+3,+1.84802+1.22341i,-0.848337-0.538855i,-0.59464-0.601763i
+4,-1,+3,+2.63099+0.281239i,-0.695179-0.0775794i,-0.826522-0.197284i
+4,+0,+3,-0.169984+0.546015i,+6.32325e-15-3.39038e-15i,-0.0295806+0.10179i
+4,+1,+3,+1.84486+0.466417i,+0.498647+0.123874i,-0.408891-0.29566i
+4,+2,+3,+1.12232+1.35431i,+0.485489+0.604306i,-0.141081-0.683576i
+4,+3,+3,+0.330669+1.41099i,+0.230481+0.913633i,-0.362053-0.351868i
+4,+4,+3,-1.10784+0.0524267i,-1.00921+0.0710744i,+0.471892-0.015341i
+4,+5,+3,+0.336672+0.933268i,+0.42084+1.16658i,-0.425955-0.427046i
+4,+6,+3,-0.635232-0.458441i,-0.952848-0.687661i,+0.205443+0.423644i
+4,+7,+3,-0.490829-0.331357i,-0.858951-0.579876i,+0.311293-0.0140286i
+4,+8,+3,-0.615948+0.127785i,-1.2319+0.255571i,+0.462368-0.113892i
+4,+9,+3,+0.197972+0.448637i,+0.445437+1.00943i,-0.0438112-0.350017i
+5,-10,+3,-0.0302409+0.00779019i,+0.0604818-0.0155804i,+0.226579-0.0613399i
+5,-9,+3,-0.500828-0.138313i,+0.90149+0.248963i,+0.247897+0.279205i
+5,-8,+3,-0.488603-0.422021i,+0.781765+0.675234i,+0.218228+0.394715i
