X,Y,Z,Ex,Ey,Ez
+0,+60,+3,-3.33379e-19+8.67081e-19i,-0.00326856+0.00891055i,-0.0456058+0.140607i
+0,+61,+3,-4.65554e-19+7.42295e-19i,-0.00414487+0.00795278i,-0.0415986+0.140191i
+0,+62,+3,-5.50303e-19+5.9473e-19i,-0.00469121+0.00684049i,-0.0382763+0.140344i
+0,+63,+3,-5.88538e-19+4.40205e-19i,-0.00491387+0.00568365i,-0.0356734+0.140802i
+0,+64,+3,-5.85058e-19+2.91567e-19i,-0.00484631+0.00457157i,-0.0337533+0.141335i
+0,+65,+3,-5.4705e-19+1.58306e-19i,-0.00453863+0.00357019i,-0.0324297+0.141758i
+0,+66,+3,-4.82807e-19+4.66142e-20i,-0.00404866+0.00272251i,-0.0315863+0.141937i
+0,+67,+3,-4.00742e-19-4.02526e-20i,-0.0034351+0.00205103i,-0.0310943+0.141785i
+0,+68,+3,-3.08687e-19-1.01466e-19i,-0.00275262+0.00156137i,-0.0308246+0.141257i
+0,+69,+3,-2.13457e-19-1.38058e-19i,-0.00204879+0.00124618i,-0.0306582+0.140345i
+0,+70,+3,-1.20621e-19-1.52369e-19i,-0.00136249+0.00108896i,-0.0304919+0.139067i
+0,+71,+3,-3.44389e-20-1.4756e-19i,-0.000723469+0.00106751i,-0.0302413+0.137461i
+0,+72,+3,+4.20853e-20-1.27202e-19i,-0.000152723+0.00115677i,-0.0298421+0.135576i
+0,+73,+3,+1.07079e-19-9.49542e-20i,+0.000336659+0.00133108i,-0.0292493+0.133471i
+0,+74,+3,+1.59634e-19-5.4327e-20i,+0.000738314+0.00156578i,-0.0284355+0.131204i
+0,+75,+3,+1.99621e-19-8.5233e-21i,+0.00105134+0.00183841i,-0.0273885+0.12883i
+0,+76,+3,+2.27514e-19+3.96605e-20i,+0.00127902+0.00212932i,-0.0261088+0.126402i
+0,+77,+3,+2.4422e-19+8.78805e-20i,+0.00142771+0.00242203i,-0.0246067+0.123966i
+0,+78,+3,+2.50936e-19+1.34254e-19i,+0.00150573+0.00270331i,-0.0228998+0.121561i
+0,+79,+3,+2.4902e-19+1.77339e-19i,+0.0015226+0.00296298i,-0.0210108+0.119217i
+0,+80,+3,+2.39902e-19+2.16101e-19i,+0.00148828+0.00319373i,-0.0189655+0.116958i
+0,+81,+3,+2.24995e-19+2.49861e-19i,+0.00141268+0.00339073i,-0.016791+0.114803i
+0,+82,+3,+2.05653e-19+2.78244e-19i,+0.00130524+0.00355128i,-0.0145146+0.112762i
+0,+83,+3,+1.83118e-19+3.01128e-19i,+0.00117466+0.00367446i,-0.0121626+0.11084i
+0,+84,+3,+1.58508e-19+3.18592e-19i,+0.00102877+0.00376076i,-0.00975964+0.109039i
+0,+85,+3,+1.32798e-19+3.30867e-19i,+0.000874381+0.00381172i,-0.00732842+0.107358i
+0,+86,+3,+1.06816e-19+3.38299e-19i,+0.000717304+0.0038297i,-0.00488908+0.10579i
+0,+87,+3,+8.12496e-20+3.41308e-19i,+0.000562355+0.00381759i,-0.00245922+0.104328i
+0,+88,+3,+5.66514e-20+3.40363e-19i,+0.000413413+0.00377861i,-5.38872e-05+0.102963i
+0,+89,+3,+3.34504e-20+3.35953e-19i,+0.000273493+0.00371614i,+0.00231439+0.101685i
+0,+90,+3,+1.19651e-20+3.28571e-19i,+0.000144836+0.00363359i,+0.00463544+0.100484i
+0,+91,+3,-7.58347e-21+3.18699e-19i,+2.90033e-05+0.00353427i,+0.00690125+0.0993489i
+0,+92,+3,-2.50578e-20+3.06792e-19i,-7.30272e-05+0.00342134i,+0.00910575+0.0982686i
+0,+93,+3,-4.03909e-20+2.93279e-19i,-0.000160771+0.00329776i,+0.0112446+0.0972332i
+0,+94,+3,-5.35737e-20+2.78548e-19i,-0.00023415+0.00316623i,+0.0133151+0.0962327i
+0,+95,+3,-6.46444e-20+2.62952e-19i,-0.000293414+0.00302917i,+0.0153155+0.0952582i
+0,+96,+3,-7.36774e-20+2.46803e-19i,-0.000339069+0.00288874i,+0.0172455+0.0943012i
+0,+97,+3,-8.07751e-20+2.30373e-19i,-0.000371817+0.00274682i,+0.0191054+0.0933541i
+0,+98,+3,-8.60602e-20+2.13897e-19i,-0.0003925+0.00260504i,+0.0208964+0.0924102i
+0,+99,+3,-8.96687e-20+1.97573e-19i,-0.000402056+0.00246475i,+0.0226201+0.0914634i
